Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-09 13:38:48,"Early Morning Workout",49m,"Bench Press (Dumbbell)",1,27.22,8.0,0,0.0,"","first time back in nyc :’)",
2023-01-09 13:38:48,"Early Morning Workout",49m,"Bench Press (Dumbbell)",2,27.22,6.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Bench Press (Dumbbell)",3,27.22,6.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Bench Press (Dumbbell)",4,27.22,6.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension (Dumbbell)",1,27.22,6.0,0,0.0,"Shoulder felt a bit weird make sure form is right",,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension (Dumbbell)",2,27.22,8.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension (Dumbbell)",3,27.22,8.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Incline Bench Press (Dumbbell)",1,15.88,10.0,0,0.0,"",,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Incline Bench Press (Dumbbell)",2,15.88,10.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Incline Bench Press (Dumbbell)",3,15.88,10.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Side Bend (Dumbbell)",1,60.0,8.0,0,0.0,"",,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Side Bend (Dumbbell)",2,60.0,8.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Side Bend (Dumbbell)",3,60.0,10.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension",1,22.68,10.0,0,0.0,"",,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension",2,26.08,8.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Triceps Extension",3,19.28,10.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Cable Crossover",1,10.0,10.0,0,0.0,"",,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Cable Crossover",2,15.0,5.0,0,0.0,,,
2023-01-09 13:38:48,"Early Morning Workout",49m,"Cable Crossover",3,10.0,6.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Lat Pulldown (Cable)",1,140.0,6.0,0,0.0,"","Hands were kinda hurting from grip even w gloves",
2023-01-11 14:26:48,"Morning Workout",37m,"Lat Pulldown (Cable)",2,130.0,6.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Lat Pulldown (Cable)",3,120.0,8.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Seated Row (Cable)",1,54.43,8.0,0,0.0,"",,
2023-01-11 14:26:48,"Morning Workout",37m,"Seated Row (Cable)",2,54.43,10.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Seated Row (Cable)",3,54.43,10.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Side Bend (Dumbbell)",1,60.0,8.0,0,0.0,"",,
2023-01-11 14:26:48,"Morning Workout",37m,"Side Bend (Dumbbell)",2,60.0,10.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Side Bend (Dumbbell)",3,60.0,10.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Bicep Curl (Cable)",1,50.0,10.0,0,0.0,"",,
2023-01-11 14:26:48,"Morning Workout",37m,"Bicep Curl (Cable)",2,57.5,5.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Bicep Curl (Cable)",3,55.0,7.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Front Raise (Plate)",1,25.0,8.0,0,0.0,"",,
2023-01-11 14:26:48,"Morning Workout",37m,"Front Raise (Plate)",2,25.0,8.0,0,0.0,,,
2023-01-11 14:26:48,"Morning Workout",37m,"Front Raise (Plate)",3,25.0,6.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Triceps Extension (Dumbbell)",1,27.22,8.0,0,0.0,"","Need to do better w dumbbells bench",
2023-01-14 17:28:40,"Morning Workout",48m,"Triceps Extension (Dumbbell)",2,27.22,8.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Triceps Extension (Dumbbell)",3,27.22,8.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Bench Press (Dumbbell)",1,27.22,6.0,0,0.0,"",,
2023-01-14 17:28:40,"Morning Workout",48m,"Bench Press (Dumbbell)",2,27.22,5.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Bench Press (Dumbbell)",3,27.22,3.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Bench Press (Dumbbell)",4,27.22,5.0,0,0.0,,,
2023-01-14 17:28:40,"Morning Workout",48m,"Incline Bench Press (Dumbbell)",1,15.88,10.0,0,0.0,"Shoulder hurt take it easy on the way down",,
